Gasto,Ingreso,Nivel de Riesgo
2122,4887,Alerta
2415,2077,Crítico
753,4224,Aceptable
1822,1173,Crítico
1552,3173,Alerta
1190,1129,Crítico
906,1006,Crítico
1690,1863,Crítico
836,3055,Aceptable
915,2289,Alerta
891,2877,Aceptable
1015,2517,Alerta
2134,3500,Crítico
1574,3039,Crítico
1117,2151,Crítico
1085,1002,Crítico
99,3917,Aceptable
888,1258,Crítico
689,1800,Alerta
694,2836,Aceptable
1846,1834,Crítico
2115,3055,Crítico
434,3516,Aceptable
718,1833,Alerta
1239,3156,Alerta
1505,4329,Aceptable
2499,2445,Crítico
1593,4715,Aceptable
1268,3979,Aceptable
1199,4933,Aceptable
674,3808,Aceptable
1922,1608,Crítico
1800,1506,Crítico
1527,4513,Aceptable
229,1503,Aceptable
1615,4799,Aceptable
1067,3876,Aceptable
2471,4092,Crítico
879,3342,Aceptable
1990,4062,Alerta
1061,4218,Aceptable
1017,4319,Aceptable
1702,2983,Crítico
2087,4430,Alerta
60,3340,Aceptable
1476,1065,Crítico
2468,3501,Crítico
1946,3276,Crítico
1510,2579,Crítico
438,3299,Aceptable
1111,4458,Aceptable
768,3331,Aceptable
15,4456,Aceptable
1264,3258,Alerta
1147,3700,Aceptable
673,1249,Crítico
591,1911,Aceptable
1100,2492,Alerta
1518,1165,Crítico
2406,3464,Crítico
1554,4716,Aceptable
2026,1621,Crítico
696,2617,Aceptable
2086,4752,Alerta
20,1568,Aceptable
1855,1643,Crítico
713,2076,Aceptable
2269,1076,Crítico
2333,3700,Crítico
95,3817,Aceptable
2366,2052,Crítico
922,3433,Aceptable
981,1084,Crítico
113,3996,Aceptable
154,1290,Aceptable
2257,2168,Crítico
989,1683,Crítico
1602,2480,Crítico
379,4177,Aceptable
581,4372,Aceptable
1459,4990,Aceptable
227,1887,Aceptable
1790,3678,Alerta
1085,3156,Aceptable
301,4158,Aceptable
924,1378,Crítico
1857,4491,Alerta
1674,2645,Crítico
1414,1359,Crítico
539,3810,Aceptable
873,3232,Aceptable
2048,3443,Crítico
2337,3607,Crítico
672,2464,Aceptable
760,3836,Aceptable
719,4103,Aceptable
26,3991,Aceptable
1298,2900,Alerta
1261,4010,Aceptable
1263,1964,Crítico
210,2671,Aceptable
1629,1164,Crítico
999,4247,Aceptable
1885,1164,Crítico
1334,1372,Crítico
66,2556,Aceptable
929,3639,Aceptable
2327,3255,Crítico
1072,4115,Aceptable
1519,4072,Alerta
1860,1167,Crítico
2418,2776,Crítico
1846,2024,Crítico
1892,4859,Alerta
1623,4841,Aceptable
458,4938,Aceptable
217,4328,Aceptable
1879,2663,Crítico
384,4800,Aceptable
1977,3236,Crítico
2361,1481,Crítico
1910,3348,Crítico
2220,3482,Crítico
320,2486,Aceptable
1649,4074,Alerta
2112,4776,Alerta
2218,1578,Crítico
154,4035,Aceptable
290,5000,Aceptable
1622,2445,Crítico
977,3820,Aceptable
2203,4351,Crítico
1809,3054,Crítico
694,2149,Aceptable
1459,2503,Crítico
521,4645,Aceptable
59,3594,Aceptable
1562,2025,Crítico
880,3133,Aceptable
639,1307,Alerta
1050,3809,Aceptable
2038,1512,Crítico
1609,1186,Crítico
2467,1331,Crítico
730,1289,Crítico
1278,2319,Crítico
744,2735,Aceptable
1939,1582,Crítico
1887,4066,Alerta
359,2736,Aceptable
945,2874,Aceptable
1714,2587,Crítico
1692,4256,Alerta
1370,1682,Crítico
213,2434,Aceptable
463,2684,Aceptable
1582,2310,Crítico
1566,4706,Aceptable
120,2728,Aceptable
1446,4756,Aceptable
1712,3009,Crítico
2001,2898,Crítico
1600,4962,Aceptable
2178,4618,Alerta
525,4207,Aceptable
1710,3904,Alerta
851,2332,Alerta
119,1979,Aceptable
1553,1099,Crítico
2445,3725,Crítico
2476,2377,Crítico
573,4155,Aceptable
