Gasto,Ingreso,Nivel de Riesgo
396,2631,Aceptable
253,3561,Aceptable
976,3143,Alerta
1513,3824,Crítico
216,4488,Aceptable
475,4527,Aceptable
1012,3534,Alerta
1521,2223,Crítico
673,3381,Aceptable
554,1039,Crítico
122,3083,Aceptable
568,1092,Crítico
1514,1409,Crítico
47,4086,Aceptable
1391,3128,Crítico
370,4080,Aceptable
175,2980,Aceptable
799,2372,Alerta
1557,3354,Crítico
240,4161,Aceptable
157,1942,Aceptable
1599,4519,Crítico
1586,2294,Crítico
553,3971,Aceptable
1544,3712,Crítico
87,4076,Aceptable
248,3559,Aceptable
691,1416,Crítico
1526,1312,Crítico
1516,1973,Crítico
11,2620,Aceptable
270,3950,Aceptable
1654,2627,Crítico
123,3822,Aceptable
1253,4217,Alerta
936,2065,Crítico
817,4487,Aceptable
1212,1874,Crítico
751,4428,Aceptable
434,2521,Aceptable
1053,1101,Crítico
813,1205,Crítico
553,1759,Alerta
1123,4297,Alerta
141,4762,Aceptable
560,2291,Alerta
273,3250,Aceptable
678,1365,Crítico
1301,4061,Alerta
1010,4239,Alerta
1398,4114,Alerta
559,2351,Alerta
988,3251,Alerta
1684,4157,Crítico
1057,1255,Crítico
1367,3817,Crítico
930,1568,Crítico
224,1368,Aceptable
276,3950,Aceptable
1671,1962,Crítico
647,1256,Crítico
83,1249,Aceptable
513,1448,Crítico
1381,2744,Crítico
655,3099,Alerta
458,4128,Aceptable
128,2948,Aceptable
587,3289,Aceptable
1055,3576,Alerta
1030,2747,Crítico
888,1266,Crítico
662,2511,Alerta
232,4713,Aceptable
1518,1180,Crítico
1688,3191,Crítico
1045,2608,Crítico
786,3026,Alerta
1597,1237,Crítico
736,4938,Aceptable
211,4624,Aceptable
148,2711,Aceptable
1568,1646,Crítico
887,4884,Aceptable
1425,4752,Alerta
1755,2289,Crítico
848,1856,Crítico
395,1102,Crítico
1163,1727,Crítico
1577,2879,Crítico
35,3772,Aceptable
23,4663,Aceptable
321,3582,Aceptable
884,2576,Alerta
1788,3442,Crítico
1100,2369,Crítico
485,3987,Aceptable
1645,1984,Crítico
245,2815,Aceptable
1333,1728,Crítico
672,2212,Alerta
1526,3160,Crítico
1019,3165,Alerta
15,2985,Aceptable
1451,3440,Crítico
1239,1989,Crítico
1393,3648,Crítico
1177,2493,Crítico
1799,1036,Crítico
669,4595,Aceptable
507,2202,Alerta
1528,4311,Crítico
1241,3958,Alerta
101,1506,Aceptable
1378,3909,Crítico
973,4009,Alerta
469,3629,Aceptable
632,4872,Aceptable
482,1413,Alerta
1777,2607,Crítico
1115,4928,Alerta
1324,4712,Alerta
222,4143,Aceptable
1240,3879,Alerta
226,2486,Aceptable
1493,4710,Alerta
347,4501,Aceptable
731,1861,Crítico
1,2179,Aceptable
638,2130,Alerta
1006,4231,Alerta
984,3670,Alerta
992,4327,Alerta
543,3111,Aceptable
1019,4949,Alerta
127,1394,Aceptable
46,3474,Aceptable
1442,2396,Crítico
262,2440,Aceptable
137,2813,Aceptable
522,1362,Crítico
207,1208,Aceptable
1397,2778,Crítico
1580,3026,Crítico
392,3168,Aceptable
1474,1750,Crítico
1712,4332,Crítico
1778,3731,Crítico
210,1446,Aceptable
1379,2873,Crítico
1186,1094,Crítico
464,3497,Aceptable
1350,3837,Crítico
537,4121,Aceptable
1496,1737,Crítico
252,2887,Aceptable
1799,2066,Crítico
1757,3305,Crítico
653,4948,Aceptable
1053,2324,Crítico
1501,2484,Crítico
256,4006,Aceptable
1734,3106,Crítico
369,4064,Aceptable
326,3083,Aceptable
486,1309,Crítico
977,1322,Crítico
551,3282,Aceptable
1298,1880,Crítico
1295,4178,Alerta
800,4139,Aceptable
1408,3952,Crítico
53,2550,Aceptable
1026,1124,Crítico
334,4480,Aceptable
580,2405,Alerta
1035,1324,Crítico
1586,3475,Crítico
1346,3434,Crítico
716,1220,Crítico
1752,4987,Crítico
1593,4680,Alerta
1204,1341,Crítico
493,3544,Aceptable
569,3284,Aceptable
877,1209,Crítico
1300,4228,Alerta
1572,1709,Crítico
1522,1187,Crítico
427,4689,Aceptable
1379,1817,Crítico
1540,3047,Crítico
959,1146,Crítico
1464,4041,Crítico
1509,4390,Alerta
629,3862,Aceptable
1679,1502,Crítico
1169,2700,Crítico
248,2802,Aceptable
1676,4462,Crítico
1271,1954,Crítico
1013,1383,Crítico
1640,4145,Crítico
574,4198,Aceptable
324,4926,Aceptable
1087,3642,Alerta
1418,2807,Crítico
29,2579,Aceptable
491,2212,Alerta
942,1851,Crítico
154,2341,Aceptable
542,2445,Alerta
479,1377,Alerta
80,2551,Aceptable
790,4516,Aceptable
1109,3304,Alerta
1056,2773,Crítico
279,4405,Aceptable
360,3765,Aceptable
375,2088,Aceptable
907,3990,Alerta
489,3262,Aceptable
627,3819,Aceptable
1029,4270,Alerta
941,1490,Crítico
1280,4862,Alerta
577,1961,Alerta
112,2400,Aceptable
1029,1530,Crítico
828,2009,Crítico
198,2779,Aceptable
1752,4330,Crítico
1758,3141,Crítico
845,2871,Alerta
602,1130,Crítico
1117,4697,Alerta
752,2113,Crítico
822,1963,Crítico
1560,1596,Crítico
557,5000,Aceptable
93,1715,Aceptable
841,1176,Crítico
567,4991,Aceptable
1407,2866,Crítico
47,4173,Aceptable
93,4902,Aceptable
965,1423,Crítico
1045,1725,Crítico
1116,2173,Crítico
1666,3780,Crítico
1562,4007,Crítico
1222,3469,Crítico
1739,2178,Crítico
1587,4704,Alerta
705,3323,Alerta
1556,1415,Crítico
80,4007,Aceptable
621,1677,Crítico
145,4060,Aceptable
1053,4150,Alerta
1730,4776,Crítico
247,3346,Aceptable
140,2511,Aceptable
832,3581,Alerta
463,3459,Aceptable
268,1140,Alerta
1490,2791,Crítico
1067,2856,Crítico
653,4815,Aceptable
1486,4140,Crítico
808,2966,Alerta
865,1856,Crítico
934,4578,Alerta
1445,2520,Crítico
1158,2826,Crítico
496,4390,Aceptable
1064,2995,Crítico
1657,4186,Crítico
1044,3905,Alerta
15,1925,Aceptable
1382,3310,Crítico
958,2194,Crítico
1778,3750,Crítico
1024,4346,Alerta
888,4146,Alerta
1515,4331,Alerta
167,2627,Aceptable
1198,2906,Crítico
331,2256,Aceptable
531,1383,Crítico
368,2288,Aceptable
544,4400,Aceptable
1598,1165,Crítico
1388,3432,Crítico
10,3871,Aceptable
479,1931,Alerta
708,1981,Crítico
1363,2899,Crítico
425,2588,Aceptable
566,3067,Aceptable
239,3237,Aceptable
1193,1508,Crítico
1268,1211,Crítico
1011,2870,Crítico
1659,3231,Crítico
1213,4992,Alerta
888,2045,Crítico
475,4336,Aceptable
1587,2026,Crítico
851,4401,Aceptable
1027,3717,Alerta
1316,3048,Crítico
836,1707,Crítico
854,3139,Alerta
1414,4238,Alerta
476,1982,Alerta
1018,3554,Alerta
1222,3725,Alerta
164,1095,Aceptable
1233,4714,Alerta
895,4522,Aceptable
777,4955,Aceptable
1431,1714,Crítico
1639,2432,Crítico
1382,1021,Crítico
1685,3846,Crítico
1556,2209,Crítico
521,4810,Aceptable
1065,4578,Alerta
757,3041,Alerta
924,4230,Alerta
225,1013,Alerta
1018,1423,Crítico
557,3087,Aceptable
1556,2801,Crítico
107,2786,Aceptable
667,4269,Aceptable
1100,1318,Crítico
1798,4097,Crítico
1602,3833,Crítico
257,1247,Alerta
718,4434,Aceptable
797,4396,Aceptable
739,1910,Crítico
530,4449,Aceptable
23,2735,Aceptable
1395,1352,Crítico
800,1086,Crítico
932,4685,Aceptable
568,2957,Aceptable
1156,4871,Alerta
1792,1572,Crítico
83,2538,Aceptable
240,4426,Aceptable
411,2018,Alerta
1517,1710,Crítico
1241,2613,Crítico
1485,3375,Crítico
64,1457,Aceptable
1500,4891,Alerta
287,4776,Aceptable
551,1210,Crítico
702,3410,Alerta
1168,2845,Crítico
421,3712,Aceptable
141,2934,Aceptable
1061,3213,Alerta
260,3900,Aceptable
12,4198,Aceptable
232,3172,Aceptable
8,3443,Aceptable
1783,4813,Crítico
1103,1152,Crítico
967,4887,Aceptable
899,1227,Crítico
186,2311,Aceptable
1065,1481,Crítico
319,2046,Aceptable
1471,1523,Crítico
1370,1368,Crítico
55,4545,Aceptable
437,1879,Alerta
582,1800,Alerta
1399,3868,Crítico
1509,4657,Alerta
308,4050,Aceptable
1292,1950,Crítico
1742,2319,Crítico
372,1650,Alerta
1724,4352,Crítico
1228,3699,Alerta
686,3159,Alerta
907,2730,Alerta
326,1333,Alerta
876,1395,Crítico
591,4413,Aceptable
413,3021,Aceptable
1687,4223,Crítico
1708,3476,Crítico
1495,2004,Crítico
732,3931,Aceptable
1184,4820,Alerta
639,1988,Alerta
900,1917,Crítico
1388,4843,Alerta
346,3249,Aceptable
880,1908,Crítico
315,4008,Aceptable
14,2275,Aceptable
749,4659,Aceptable
408,4837,Aceptable
891,3628,Alerta
989,2656,Crítico
45,2761,Aceptable
39,4850,Aceptable
1212,2892,Crítico
56,4513,Aceptable
1531,3067,Crítico
1721,1187,Crítico
499,4955,Aceptable
1695,1794,Crítico
1311,4983,Alerta
466,2973,Aceptable
571,1050,Crítico
1185,2454,Crítico
415,1297,Alerta
499,4564,Aceptable
567,1855,Alerta
904,2221,Crítico
1796,1302,Crítico
1412,4760,Alerta
1524,2879,Crítico
1311,1229,Crítico
711,3080,Alerta
57,4562,Aceptable
711,2213,Alerta
1140,2263,Crítico
873,2474,Crítico
531,2572,Alerta
1258,2089,Crítico
633,4021,Aceptable
1475,3808,Crítico
1309,1308,Crítico
1514,1832,Crítico
68,3182,Aceptable
1450,4308,Alerta
1215,2794,Crítico
1054,1481,Crítico
358,2895,Aceptable
1490,3613,Crítico
509,1399,Crítico
287,4531,Aceptable
365,4701,Aceptable
83,1472,Aceptable
1149,4733,Alerta
1116,1289,Crítico
1058,4630,Alerta
518,1229,Crítico
1157,3146,Crítico
772,4628,Aceptable
1352,4325,Alerta
198,3211,Aceptable
207,4021,Aceptable
64,1080,Aceptable
1646,3134,Crítico
1445,2062,Crítico
675,1649,Crítico
316,3231,Aceptable
1217,4401,Alerta
65,3330,Aceptable
1000,1662,Crítico
759,2338,Alerta
1744,4964,Crítico
269,4987,Aceptable
1777,1315,Crítico
529,3752,Aceptable
421,4939,Aceptable
860,4898,Aceptable
1542,1813,Crítico
702,1663,Crítico
1068,4718,Alerta
237,3864,Aceptable
290,4691,Aceptable
1762,2757,Crítico
844,3452,Alerta
1513,4293,Crítico
1466,3886,Crítico
385,2703,Aceptable
1073,1078,Crítico
628,3528,Aceptable
1370,4681,Alerta
393,2456,Aceptable
828,3379,Alerta
356,4092,Aceptable
1600,3804,Crítico
803,2256,Crítico
1694,1109,Crítico
244,3661,Aceptable
289,3775,Aceptable
1160,4683,Alerta
1269,3168,Crítico
1018,1647,Crítico
1555,4309,Crítico
1656,3294,Crítico
462,3164,Aceptable
1338,1589,Crítico
1527,3948,Crítico
1658,2658,Crítico
73,1301,Aceptable
1355,2755,Crítico
1719,2758,Crítico
1525,4116,Crítico
926,3459,Alerta
1116,1446,Crítico
643,3992,Aceptable
1060,3147,Alerta
107,1964,Aceptable
777,4774,Aceptable
229,3243,Aceptable
0,2098,Aceptable
1505,4034,Crítico
1424,1764,Crítico
271,1956,Aceptable
978,4342,Alerta
986,1498,Crítico
1225,4649,Alerta
765,4490,Aceptable
521,3058,Aceptable
708,3089,Alerta
593,4835,Aceptable
1490,3144,Crítico
553,1524,Crítico
500,3452,Aceptable
999,4855,Alerta
144,2551,Aceptable
1322,2492,Crítico
345,4473,Aceptable
1627,4953,Alerta
1154,1869,Crítico
776,2851,Alerta
69,1942,Aceptable
346,1634,Alerta
1472,1317,Crítico
380,4032,Aceptable
1131,4846,Alerta
1060,4733,Alerta
1749,2020,Crítico
199,2716,Aceptable
60,2384,Aceptable
153,1387,Aceptable
1396,4405,Alerta
149,4824,Aceptable
1337,3533,Crítico
46,2701,Aceptable
1607,3041,Crítico
31,4283,Aceptable
487,2331,Alerta
1750,3613,Crítico
241,3298,Aceptable
334,1796,Aceptable
510,3826,Aceptable
